Date,Category,Region,Sales,Quantity,Profit,Rating
2025-06-01,Books,West,112.38,1,29.94,3
2025-06-01,Apparel,West,85.31,4,12.66,3
2025-06-01,Beauty,West,58.95,4,10.94,5
2025-06-01,Books,East,349.61,3,22.29,5
2025-06-01,Electronics,West,287.99,1,92.62,4
2025-06-01,Beauty,East,34.66,5,-23.89,4
2025-06-02,Books,South,84.09,2,-15.06,3
2025-06-02,Books,West,14.98,4,-10.86,4
2025-06-02,Home & Kitchen,North,93.96,4,0.36,3
2025-06-03,Electronics,North,77.97,1,10.95,4
2025-06-04,Home & Kitchen,South,119.35,1,6.0,4
2025-06-04,Electronics,South,117.89,1,5.84,4
2025-06-04,Home & Kitchen,East,16.88,1,-12.18,5
2025-06-04,Apparel,West,295.04,5,38.27,3
2025-06-05,Books,East,57.52,2,-51.58,5
2025-06-05,Home & Kitchen,West,26.01,3,3.77,3
2025-06-05,Apparel,East,70.54,3,-10.23,3
2025-06-05,Electronics,East,250.36,5,83.95,3
2025-06-05,Beauty,North,347.56,5,50.22,3
2025-06-06,Electronics,West,25.51,5,2.54,4
2025-06-06,Electronics,South,106.2,5,-1.8,5
2025-06-06,Home & Kitchen,East,178.41,5,4.93,3
2025-06-06,Books,West,57.5,4,-52.22,3
2025-06-07,Beauty,North,161.61,3,24.01,5
2025-06-07,Books,South,29.17,2,-4.28,3
2025-06-08,Apparel,West,148.6,1,3.13,5
2025-06-08,Home & Kitchen,East,16.59,4,-6.33,4
2025-06-08,Apparel,North,200.5,2,50.41,4
2025-06-09,Home & Kitchen,North,250.18,2,-4.41,3
2025-06-09,Apparel,South,22.87,1,-20.68,3
2025-06-09,Electronics,South,50.11,1,10.43,4
2025-06-10,Apparel,South,138.48,5,50.51,5
2025-06-10,Electronics,East,147.11,2,7.43,5
2025-06-12,Beauty,East,161.36,3,41.85,3
2025-06-12,Home & Kitchen,South,560.9,5,170.12,4
2025-06-12,Home & Kitchen,East,10.48,3,-4.24,5
2025-06-13,Electronics,East,77.45,1,-26.96,4
2025-06-13,Beauty,North,257.56,5,75.1,4
2025-06-13,Home & Kitchen,North,62.75,4,-3.4,5
2025-06-13,Beauty,South,190.61,5,37.37,4
2025-06-14,Apparel,East,91.19,4,9.99,4
2025-06-14,Home & Kitchen,West,220.38,4,59.51,5
2025-06-14,Electronics,North,226.02,4,-30.13,5
2025-06-14,Beauty,West,62.58,2,-22.98,3
2025-06-15,Beauty,North,678.72,1,170.24,4
2025-06-15,Books,West,130.62,3,29.38,4
2025-06-15,Apparel,West,233.02,1,61.84,3
2025-06-16,Apparel,East,24.75,4,-1.61,4
2025-06-17,Home & Kitchen,West,84.11,3,-2.28,5
2025-06-18,Apparel,South,355.87,3,14.43,4
2025-06-19,Electronics,West,10.92,2,-1.33,5
2025-06-19,Books,North,423.09,1,133.06,5
2025-06-20,Books,West,83.5,2,-11.13,3
2025-06-20,Home & Kitchen,East,315.76,3,33.77,5
2025-06-20,Electronics,West,238.61,5,27.39,5
2025-06-21,Apparel,West,65.38,4,-24.39,4
2025-06-21,Apparel,North,393.86,2,92.46,5
2025-06-22,Books,North,702.08,5,207.09,5
2025-06-22,Books,East,17.61,3,-2.43,4
2025-06-22,Home & Kitchen,West,73.68,5,27.4,5
2025-06-23,Books,North,123.49,3,32.77,4
2025-06-23,Beauty,South,31.3,4,3.75,5
2025-06-25,Home & Kitchen,East,61.91,3,-6.09,5
2025-06-25,Home & Kitchen,West,43.58,4,-1.31,4
2025-06-25,Home & Kitchen,North,143.9,3,49.28,5
2025-06-26,Electronics,West,227.05,1,25.36,4
2025-06-26,Home & Kitchen,East,180.7,2,18.04,5
2025-06-26,Home & Kitchen,East,23.23,3,-34.6,3
2025-06-27,Books,East,58.82,3,-22.76,5
2025-06-28,Home & Kitchen,West,66.17,5,8.52,3
2025-06-28,Books,East,27.98,2,3.95,5
2025-06-28,Beauty,South,118.75,2,42.34,5
2025-06-28,Home & Kitchen,West,283.27,1,98.98,3
2025-06-28,Electronics,South,269.88,1,101.37,4
2025-06-29,Apparel,West,554.35,1,55.02,3
2025-06-29,Beauty,North,87.24,5,7.11,5
2025-06-30,Home & Kitchen,East,88.3,2,7.21,3
2025-07-01,Electronics,West,38.33,2,2.07,4
2025-07-03,Electronics,West,99.02,1,25.63,4
2025-07-03,Books,West,77.48,3,16.26,5
2025-07-03,Home & Kitchen,East,125.51,2,-3.32,4
2025-07-04,Books,West,189.75,4,41.18,5
2025-07-04,Books,West,18.92,5,-20.32,4
2025-07-04,Electronics,North,365.34,4,104.2,3
2025-07-04,Electronics,North,163.51,2,18.36,5
2025-07-05,Beauty,North,15.09,1,-32.65,3
2025-07-05,Books,North,54.37,3,9.1,5
2025-07-05,Apparel,North,245.32,2,35.78,5
2025-07-05,Apparel,North,99.84,5,-13.79,3
2025-07-05,Books,West,225.52,5,48.68,4
2025-07-06,Beauty,North,35.98,1,5.47,4
2025-07-06,Electronics,West,264.51,5,72.15,5
2025-07-06,Electronics,South,71.61,4,-1.02,5
2025-07-06,Home & Kitchen,South,16.78,3,-24.24,3
2025-07-07,Electronics,North,471.98,5,58.38,5
2025-07-07,Beauty,South,268.83,3,34.31,3
2025-07-07,Books,South,13.82,4,3.08,5
2025-07-08,Beauty,West,60.3,1,12.34,3
2025-07-08,Books,North,193.72,4,18.82,5
2025-07-09,Electronics,East,157.6,3,41.48,4
2025-07-09,Apparel,West,16.97,3,-6.27,3
2025-07-09,Beauty,South,102.83,1,15.94,5
